Station,Latitude,Longitude
Ansonia,41.344131,-73.079894
Beacon Falls,41.44067,-73.062992
Berlin,41.635652,-72.765365
Bethel,41.376067,-73.417658
Branchville,41.266751,-73.440857
Branford,41.274537,-72.817232
Bridgeport,41.1779,-73.187193
Cannondale,41.216704,-73.426636
Clinton,41.279566,-72.529169
Cos Cob,41.029863,-73.600131
Danbury,41.396111,-73.448772
Darien,41.077168,-73.471673
Derby/Shelton,41.320277,-73.083633
East Norwalk,41.104227,-73.404197
Fairfield,41.14281,-73.257778
Fairfield,41.161927,-73.23362
Glenbrook,41.07104,-73.520032
Green's Farms,41.122464,-73.315039
Greenwich,41.021438,-73.625547
Guilford,41.27572,-72.673384
Hartford Union Station,41.768388,-72.681645
Madison,41.28371,-72.59974
Meriden,41.539202,-72.80097
Merritt,41.14661,-73.427819
Milford,41.222642,-73.058859
Mystic,41.350932,-71.963162
Naugatuck,41.49281,-73.05219
New Canaan,41.145915,-73.496384
New Haven State St Station,41.305002,-72.921956
New Haven Union Station,41.297465,-72.92664
New London,41.354244,-72.093057
Noroton Heights,41.068997,-73.496677
Old Greenwich,41.033347,-73.56791
Old Saybrook,41.300196,-72.377959
Redding,41.324794,-73.435144
Riverside,41.031732,-73.587183
Rowayton,41.077709,-73.444283
Seymour,41.395372,-73.072518
South Norwalk,41.095527,-73.421799
Southport,41.136463,-73.285801
Springdale,41.089004,-73.517791
Stamford,41.046805,-73.541952
Stratford,41.194834,-73.130851
Talmadge Hill,41.116373,-73.498062
Wallingford,41.456957,-72.824938
Waterbury,41.554572,-73.047054
West Haven,41.271249,-72.964386
Westbrook,41.288878,-72.44796
Westport,41.118902,-73.370218
Wilton,41.195944,-73.431993
Windsor,41.851762,-72.643166
Windsor Locks,41.913935,-72.626009